1709037473676	RemoteAgent	DEBUG	Resetting recommended pref browser.tabs.warnOnOpen
1709037473676	RemoteAgent	DEBUG	Resetting recommended pref browser.toolbars.bookmarks.visibility
1709037473676	RemoteAgent	DEBUG	Resetting recommended pref browser.topsites.contile.enabled
1709037473676	RemoteAgent	DEBUG	Resetting recommended pref browser.usedOnWindows10.introURL
1709037473676	RemoteAgent	DEBUG	Resetting recommended pref browser.urlbar.merino.endpointURL
1709037473677	RemoteAgent	DEBUG	Resetting recommended pref browser.urlbar.suggest.searches
1709037473678	RemoteAgent	DEBUG	Resetting recommended pref datareporting.policy.dataSubmissionPolicyAccepted
1709037473678	RemoteAgent	DEBUG	Resetting recommended pref dom.disable_open_during_load
1709037473678	RemoteAgent	DEBUG	Resetting recommended pref dom.file.createInChild
1709037473678	RemoteAgent	DEBUG	Resetting recommended pref dom.input_events.security.minNumTicks
1709037473678	RemoteAgent	DEBUG	Resetting recommended pref dom.input_events.security.minTimeElapsedInMS
1709037473678	RemoteAgent	DEBUG	Resetting recommended pref dom.max_chrome_script_run_time
1709037473678	RemoteAgent	DEBUG	Resetting recommended pref dom.max_script_run_time
1709037473679	RemoteAgent	DEBUG	Resetting recommended pref dom.navigation.locationChangeRateLimit.count
1709037473679	RemoteAgent	DEBUG	Resetting recommended pref dom.push.connection.enabled
1709037473679	RemoteAgent	DEBUG	Resetting recommended pref dom.screenorientation.allow-lock
1709037473679	RemoteAgent	DEBUG	Resetting recommended pref dom.successive_dialog_time_limit
1709037473679	RemoteAgent	DEBUG	Resetting recommended pref extensions.getAddons.cache.enabled
1709037473679	RemoteAgent	DEBUG	Resetting recommended pref extensions.getAddons.discovery.api_url
1709037473679	RemoteAgent	DEBUG	Resetting recommended pref extensions.blocklist.detailsURL
1709037473679	RemoteAgent	DEBUG	Resetting recommended pref extensions.blocklist.itemURL
1709037473679	RemoteAgent	DEBUG	Resetting recommended pref extensions.hotfix.url
1709037473679	RemoteAgent	DEBUG	Resetting recommended pref extensions.systemAddon.update.url
1709037473679	RemoteAgent	DEBUG	Resetting recommended pref extensions.update.background.url
1709037473680	RemoteAgent	DEBUG	Resetting recommended pref extensions.update.url
1709037473680	RemoteAgent	DEBUG	Resetting recommended pref extensions.getAddons.get.url
1709037473680	RemoteAgent	DEBUG	Resetting recommended pref extensions.getAddons.search.browseURL
1709037473680	RemoteAgent	DEBUG	Resetting recommended pref geo.provider.network.url
1709037473680	RemoteAgent	DEBUG	Resetting recommended pref identity.fxaccounts.auth.uri
1709037473680	RemoteAgent	DEBUG	Resetting recommended pref network.connectivity-service.enabled
1709037473680	RemoteAgent	DEBUG	Resetting recommended pref network.http.phishy-userpass-length
1709037473680	RemoteAgent	DEBUG	Resetting recommended pref network.http.prompt-temp-redirect
1709037473680	RemoteAgent	DEBUG	Resetting recommended pref privacy.trackingprotection.enabled
1709037473680	RemoteAgent	DEBUG	Resetting recommended pref security.fileuri.strict_origin_policy
1709037473680	RemoteAgent	DEBUG	Resetting recommended pref security.notification_enable_delay
1709037473681	RemoteAgent	DEBUG	Resetting recommended pref security.remote_settings.intermediates.enabled
1709037473681	RemoteAgent	DEBUG	Resetting recommended pref signon.autofillForms
1709037473681	RemoteAgent	DEBUG	Resetting recommended pref signon.rememberSignons
1709037473682	RemoteAgent	DEBUG	Resetting recommended pref toolkit.telemetry.server
1709037473682	RemoteAgent	DEBUG	Resetting recommended pref widget.windows.window_occlusion_tracking.enabled
1709037473682	RemoteAgent	DEBUG	Resetting recommended pref dom.disable_beforeunload
1709037473682	Marionette	DEBUG	Marionette stopped listening
JavaScript error: chrome://global/content/elements/browser-custom-element.js, line 645: TypeError: this.browsingContext is null
console.error: services.settings: 
  main/fingerprinting-protection-overrides Signature failed  TypeError: NetworkError: Network request failed
console.error: services.settings: 
  main/query-stripping Signature failed  TypeError: NetworkError: Network request failed
JavaScript error: chrome://global/content/elements/browser-custom-element.js, line 645: TypeError: this.browsingContext is null
console.error: (new NetworkError("Network error: TypeError: NetworkError: Network request failed", "resource://services-settings/RemoteSettingsClient.sys.mjs", 107))
console.error: (new NetworkError("Network error: TypeError: NetworkError: Network request failed", "resource://services-settings/RemoteSettingsClient.sys.mjs", 107))
console.error: services.settings: 
  main/partitioning-exempt-urls Signature failed  TypeError: NetworkError: Network request failed
console.error: (new NetworkError("Network error: TypeError: NetworkError: Network request failed", "resource://services-settings/RemoteSettingsClient.sys.mjs", 107))
1709037473726	webdriver::server	DEBUG	Teardown session
1709037473726	mozrunner::runner	DEBUG	Killing process 46049
